Week:;2;;Note:  .;This sheet is for you to mark down your goals with particular focus in the week.;;;;;;;;;;;;;;;;;
;;;;To make it easier, split those big goals into smaller ones, so you know what exacly to do. ;;;;;;;;;;;;;;;;;
;;;;Rewarding yourself is important! Give yourself one depending on ;;;;;;;;;;;;;;;;;
;;;;which mark you got for each goal (from smaller to bigger of course)!;;;;;;;;;;;;;;;;;
Weekly Focus;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
This Weeks Focus:;;;;Reward;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Stopping rest of bad habits;;;;;;;;;;;;;;;;;;;;;
;;;;6+;;;;;;;;;;;;;;;;;
Break the goal down into real tasks;;Score ;;7+;Buy new clothes;;;;;;;;;;;;;;;;
Watch atleast 5 copywriting lessons daily ;;2.2;;8+;;;;;;;;;;;;;;;;;
5 intense gym sessions (including cardio);;2.2;;9+;See Friends;;;;;;;;;;;;;;;;
Complete daily push up goal;;1.1;;10+;Cheat meal + Documentary;;;;;;;;;;;;;;;;
Daily Bootcamp + 2 hours of Learning Trading (w/ notes);;1.2;;;;;;;;;;;;;;;;;;;
Watch daily lessons and streams;;1.1;;;;;;;;;;;;;;;;;;;
No P/M;;1.2;;"Ran away from about 6h for the week and relapsed to P/M, which I am really ashamed.
Next week I focus giving up that last bad habit and try to be better at time management. ";;;;;;;;;;;;;;;;;
Total;;8.10;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
